,Value (m3/s),Value (Centimetres)
2020-04-11 00:00:00,6.655,173.0
2020-04-11 01:00:00,6.6525,173.0
2020-04-11 02:00:00,6.5975,173.0
2020-04-11 03:00:00,6.5375000000000005,173.0
2020-04-11 04:00:00,6.517500000000001,173.0
2020-04-11 05:00:00,6.5075,173.0
2020-04-11 06:00:00,6.489999999999999,173.0
2020-04-11 07:00:00,6.4975,173.0
2020-04-11 08:00:00,6.510000000000001,173.0
2020-04-11 09:00:00,6.5125,174.0
2020-04-11 10:00:00,6.5249999999999995,174.0
2020-04-11 11:00:00,6.5,174.0
2020-04-11 12:00:00,6.505,175.0
2020-04-11 13:00:00,6.602499999999999,175.0
2020-04-11 14:00:00,6.572500000000001,176.0
2020-04-11 15:00:00,6.558333333333334,177.0
2020-04-11 16:00:00,6.602499999999999,177.0
2020-04-11 17:00:00,6.564166666666666,177.0
2020-04-11 18:00:00,6.598333333333333,178.0
2020-04-11 19:00:00,6.695,178.0
2020-04-11 20:00:00,6.81,178.0
2020-04-11 21:00:00,6.926666666666667,178.0
2020-04-11 22:00:00,6.935,179.0
2020-04-11 23:00:00,6.788333333333333,179.0
2020-04-12 00:00:00,6.6225,179.0
2020-04-12 01:00:00,6.447500000000001,180.0
2020-04-12 02:00:00,6.264166666666667,180.0
2020-04-12 03:00:00,6.015000000000001,180.0
2020-04-12 04:00:00,5.8675,181.0
2020-04-12 05:00:00,5.965,181.0
2020-04-12 06:00:00,6.085,181.0
2020-04-12 07:00:00,6.0625,180.0
2020-04-12 08:00:00,6.04,180.0
2020-04-12 09:00:00,5.75,180.0
2020-04-12 10:00:00,5.3175,180.0
2020-04-12 11:00:00,5.335,180.0
2020-04-12 12:00:00,5.3675,180.0
2020-04-12 13:00:00,5.385000000000001,180.0
2020-04-12 14:00:00,5.918333333333333,180.0
2020-04-12 15:00:00,5.9425,179.0
2020-04-12 16:00:00,5.52,179.0
2020-04-12 17:00:00,5.3025,179.0
2020-04-12 18:00:00,5.1049999999999995,178.0
2020-04-12 19:00:00,5.243333333333333,178.0
2020-04-12 20:00:00,5.16,178.0
2020-04-12 21:00:00,4.9799999999999995,177.0
2020-04-12 22:00:00,5.600833333333333,177.0
2020-04-12 23:00:00,6.820833333333333,177.0
2020-04-13 00:00:00,6.759166666666666,177.0
2020-04-13 01:00:00,6.450833333333333,177.0
2020-04-13 02:00:00,6.098333333333333,177.0
2020-04-13 03:00:00,5.7175,176.0
2020-04-13 04:00:00,5.61,176.0
2020-04-13 05:00:00,5.6525,176.0
2020-04-13 06:00:00,5.6875,176.0
2020-04-13 07:00:00,5.645,176.0
2020-04-13 08:00:00,5.456666666666667,176.0
2020-04-13 09:00:00,4.933333333333333,176.0
2020-04-13 10:00:00,4.630833333333333,176.0
2020-04-13 11:00:00,4.675833333333333,176.0
2020-04-13 12:00:00,4.898333333333333,176.0
2020-04-13 13:00:00,5.19,176.0
2020-04-13 14:00:00,6.044999999999999,176.0
2020-04-13 15:00:00,6.0275,176.0
2020-04-13 16:00:00,5.588333333333334,176.0
2020-04-13 17:00:00,5.204166666666667,176.0
2020-04-13 18:00:00,5.026666666666666,175.0
2020-04-13 19:00:00,5.403333333333333,175.0
2020-04-13 20:00:00,5.344166666666666,175.0
2020-04-13 21:00:00,5.316666666666666,175.0
2020-04-13 22:00:00,6.57,174.0
2020-04-13 23:00:00,7.509166666666666,174.0
2020-04-14 00:00:00,7.536666666666666,174.0
2020-04-14 01:00:00,7.323333333333333,174.0
2020-04-14 02:00:00,6.865833333333334,173.0
2020-04-14 03:00:00,6.633333333333333,173.0
2020-04-14 04:00:00,6.295833333333333,173.0
2020-04-14 05:00:00,6.121666666666667,173.0
2020-04-14 06:00:00,6.039999999999999,172.0
2020-04-14 07:00:00,6.069166666666667,172.0
2020-04-14 08:00:00,6.738333333333333,172.0
2020-04-14 09:00:00,7.297499999999999,172.0
2020-04-14 10:00:00,7.5325,172.0
2020-04-14 11:00:00,7.574166666666667,172.0
2020-04-14 12:00:00,7.355,172.0
2020-04-14 13:00:00,7.129166666666666,172.0
2020-04-14 14:00:00,7.038333333333334,172.0
2020-04-14 15:00:00,6.983333333333333,172.0
2020-04-14 16:00:00,6.984999999999999,171.0
2020-04-14 17:00:00,6.9875,171.0
2020-04-14 18:00:00,7.0925,171.0
2020-04-14 19:00:00,7.039166666666667,171.0
2020-04-14 20:00:00,6.9325,171.0
2020-04-14 21:00:00,7.1866666666666665,171.0
2020-04-14 22:00:00,7.1825,171.0
2020-04-14 23:00:00,7.145,171.0
2020-04-15 00:00:00,7.154166666666666,171.0
2020-04-15 01:00:00,7.020833333333333,171.0
2020-04-15 02:00:00,6.940833333333334,171.0
2020-04-15 03:00:00,6.930000000000001,171.0
2020-04-15 04:00:00,6.86,171.0
2020-04-15 05:00:00,6.7725,171.0
2020-04-15 06:00:00,6.7175,171.0
2020-04-15 07:00:00,6.649166666666666,171.0
2020-04-15 08:00:00,6.565,171.0
2020-04-15 09:00:00,6.485833333333333,171.0
2020-04-15 10:00:00,6.427499999999999,171.0
2020-04-15 11:00:00,6.339166666666666,171.0
2020-04-15 12:00:00,6.3825,171.0
2020-04-15 13:00:00,6.348333333333334,171.0
2020-04-15 14:00:00,6.2425,171.0
2020-04-15 15:00:00,6.309166666666666,171.0
2020-04-15 16:00:00,6.5,171.0
2020-04-15 17:00:00,6.524166666666666,171.0
2020-04-15 18:00:00,6.543333333333333,171.0
2020-04-15 19:00:00,6.618333333333333,171.0
2020-04-15 20:00:00,6.906666666666666,171.0
2020-04-15 21:00:00,6.8075,171.0
2020-04-15 22:00:00,6.675,171.0
2020-04-15 23:00:00,6.888333333333333,170.0
2020-04-16 00:00:00,6.939166666666666,170.0
2020-04-16 01:00:00,6.845833333333334,170.0
2020-04-16 02:00:00,6.753333333333333,170.0
2020-04-16 03:00:00,6.6000000000000005,170.0
2020-04-16 04:00:00,6.333333333333333,170.0
2020-04-16 05:00:00,6.1525,170.0
2020-04-16 06:00:00,5.956666666666667,170.0
2020-04-16 07:00:00,5.805,170.0
2020-04-16 08:00:00,5.735,170.0
2020-04-16 09:00:00,5.763333333333333,170.0
2020-04-16 10:00:00,5.755,171.0
2020-04-16 11:00:00,5.683333333333334,170.0
2020-04-16 12:00:00,5.758333333333333,171.0
2020-04-16 13:00:00,6.03,171.0
2020-04-16 14:00:00,6.151666666666666,171.0
2020-04-16 15:00:00,6.0625,170.0
2020-04-16 16:00:00,6.248333333333334,171.0
2020-04-16 17:00:00,6.7025,170.0
2020-04-16 18:00:00,6.634166666666666,170.0
2020-04-16 19:00:00,6.375,170.0
2020-04-16 20:00:00,6.526666666666666,170.0
2020-04-16 21:00:00,6.845,170.0
2020-04-16 22:00:00,6.6883333333333335,169.0
2020-04-16 23:00:00,7.533333333333334,169.0
2020-04-17 00:00:00,7.7250000000000005,169.0
2020-04-17 01:00:00,7.3808333333333325,169.0
2020-04-17 02:00:00,7.163333333333334,169.0
2020-04-17 03:00:00,6.908333333333334,169.0
2020-04-17 04:00:00,6.655,169.0
2020-04-17 05:00:00,6.422499999999999,168.0
2020-04-17 06:00:00,6.3675,169.0
2020-04-17 07:00:00,6.435,168.0
2020-04-17 08:00:00,6.3999999999999995,168.0
2020-04-17 09:00:00,6.505833333333334,168.0
2020-04-17 10:00:00,6.713333333333334,168.0
2020-04-17 11:00:00,6.803333333333334,168.0
2020-04-17 12:00:00,6.758333333333333,168.0
2020-04-17 13:00:00,6.6175,168.0
2020-04-17 14:00:00,6.72,168.0
2020-04-17 15:00:00,6.887499999999999,168.0
2020-04-17 16:00:00,6.906666666666666,168.0
2020-04-17 17:00:00,7.03,168.0
2020-04-17 18:00:00,7.1499999999999995,168.0
2020-04-17 19:00:00,7.221666666666667,168.0
2020-04-17 20:00:00,7.301666666666667,168.0
2020-04-17 21:00:00,7.446666666666666,167.0
2020-04-17 22:00:00,7.345,167.0
2020-04-17 23:00:00,7.2683333333333335,167.0
2020-04-18 00:00:00,7.136666666666667,167.0
2020-04-18 01:00:00,7.168333333333334,167.0
2020-04-18 02:00:00,7.185833333333334,167.0
2020-04-18 03:00:00,7.125,167.0
2020-04-18 04:00:00,7.0325,167.0
2020-04-18 05:00:00,7.035,167.0
2020-04-18 06:00:00,6.929166666666667,167.0
2020-04-18 07:00:00,6.864166666666667,167.0
2020-04-18 08:00:00,6.8691666666666675,167.0
2020-04-18 09:00:00,6.905,167.0
2020-04-18 10:00:00,6.8808333333333325,167.0
2020-04-18 11:00:00,6.927499999999999,167.0
2020-04-18 13:00:00,6.939166666666666,167.0
2020-04-18 14:00:00,7.005,166.0
2020-04-18 15:00:00,7.130833333333334,166.0
2020-04-18 16:00:00,7.224166666666666,166.0
2020-04-18 17:00:00,7.3475,166.0
2020-04-18 18:00:00,7.446666666666666,166.0
2020-04-18 19:00:00,7.399166666666667,166.0
2020-04-18 20:00:00,7.512499999999999,166.0
2020-04-18 21:00:00,7.5825,166.0
2020-04-18 22:00:00,7.616666666666667,166.0
2020-04-18 23:00:00,7.563333333333333,166.0
2020-04-19 00:00:00,7.564166666666666,166.0
2020-04-19 01:00:00,7.609999999999999,166.0
2020-04-19 02:00:00,7.5775,166.0
2020-04-19 03:00:00,7.543333333333333,166.0
2020-04-19 04:00:00,7.5075,166.0
2020-04-19 05:00:00,7.495833333333334,166.0
2020-04-19 06:00:00,7.460833333333333,166.0
2020-04-19 07:00:00,7.448333333333333,166.0
2020-04-19 08:00:00,7.421666666666667,166.0
2020-04-19 09:00:00,7.41,167.0
2020-04-19 10:00:00,7.415833333333333,167.0
2020-04-19 11:00:00,7.451666666666667,167.0
2020-04-19 12:00:00,7.555833333333333,167.0
2020-04-19 13:00:00,7.665,167.0
2020-04-19 14:00:00,7.696666666666666,167.0
2020-04-19 15:00:00,7.825,167.0
2020-04-19 16:00:00,8.006666666666666,167.0
2020-04-19 17:00:00,8.113333333333333,167.0
2020-04-19 18:00:00,8.243333333333334,167.0
2020-04-19 19:00:00,8.305833333333334,167.0
2020-04-19 20:00:00,8.344166666666666,167.0
2020-04-19 21:00:00,8.325000000000001,167.0
2020-04-19 22:00:00,8.459166666666667,167.0
2020-04-19 23:00:00,8.514166666666666,167.0
2020-04-20 00:00:00,8.453333333333333,167.0
2020-04-20 01:00:00,8.45,167.0
2020-04-20 02:00:00,8.436666666666666,167.0
2020-04-20 03:00:00,8.34,167.0
2020-04-20 04:00:00,8.405833333333334,167.0
2020-04-20 05:00:00,8.388333333333334,167.0
2020-04-20 06:00:00,8.343333333333334,167.0
2020-04-20 07:00:00,8.323333333333332,167.0
2020-04-20 08:00:00,8.3875,167.0
2020-04-20 09:00:00,8.466666666666667,167.0
2020-04-20 10:00:00,8.520833333333334,167.0
2020-04-20 11:00:00,8.845,167.0
2020-04-20 12:00:00,9.104999999999999,167.0
2020-04-20 13:00:00,9.223333333333334,167.0
2020-04-20 14:00:00,9.315,167.0
2020-04-20 15:00:00,9.463333333333333,167.0
2020-04-20 16:00:00,9.583333333333334,167.0
2020-04-20 17:00:00,9.726666666666667,167.0
2020-04-20 18:00:00,9.836666666666666,167.0
2020-04-20 19:00:00,9.93,167.0
2020-04-20 20:00:00,9.953333333333333,167.0
2020-04-20 21:00:00,10.0325,167.0
2020-04-20 22:00:00,10.141666666666666,167.0
2020-04-20 23:00:00,10.166666666666666,167.0
2020-04-21 00:00:00,10.275,167.0
2020-04-21 01:00:00,10.241666666666667,167.0
2020-04-21 02:00:00,10.158333333333333,167.0
2020-04-21 03:00:00,10.1,167.0
2020-04-21 04:00:00,10.191666666666666,167.0
2020-04-21 05:00:00,10.275,167.0
2020-04-21 06:00:00,10.4,166.0
2020-04-21 07:00:00,10.5,166.0
2020-04-21 08:00:00,10.541666666666666,166.0
2020-04-21 09:00:00,10.591666666666667,166.0
2020-04-21 10:00:00,10.625,166.0
